province,date,cases,year,population,temp_mean,temp_max,temp_min,precip_total,rh_mean,oni,dmi,month,incidence_per_100k,time_index
JAWA TIMUR,2004-01-01,1573.0,2004,36800000,25.693548387096776,29.81935483870968,22.967741935483872,464.9,89.06451612903226,0.37,0.044,1,4.274456521739131,0
JAWA TIMUR,2004-02-01,1786.0,2004,36800000,25.48965517241379,29.551724137931036,22.91379310344828,440.2,89.20689655172414,0.31,0.114,2,4.853260869565218,1
JAWA TIMUR,2004-03-01,3139.0,2004,36800000,25.703225806451613,29.906451612903226,22.98064516129032,514.7,90.38709677419357,0.23,0.077,3,8.529891304347826,2
JAWA TIMUR,2004-04-01,516.0,2004,36800000,26.676666666666662,31.413333333333338,22.526666666666664,91.8,82.13333333333334,0.17,-0.08,4,1.4021739130434783,3
JAWA TIMUR,2004-05-01,38.0,2004,36800000,26.54516129032258,31.17096774193548,22.94516129032258,149.4,83.83870967741936,0.17,-0.565,5,0.10326086956521739,4
JAWA TIMUR,2005-01-01,809.0,2005,36800000,25.91290322580645,30.212903225806453,22.95483870967742,374.7,87.51612903225806,0.64,-0.124,1,2.198369565217391,5
JAWA TIMUR,2005-02-01,1282.0,2005,36800000,25.87142857142857,30.35,22.814285714285713,370.2,88.78571428571429,0.58,-0.56,2,3.483695652173913,6
JAWA TIMUR,2005-03-01,1225.0,2005,36800000,25.73225806451613,30.12258064516129,22.725806451612904,528.7,89.48387096774194,0.45,-0.432,3,3.328804347826087,7
JAWA TIMUR,2005-04-01,902.0,2005,36800000,25.866666666666667,30.4,22.28666666666667,266.4,86.03333333333333,0.43,0.084,4,2.4510869565217392,8
JAWA TIMUR,2005-05-01,932.0,2005,36800000,26.54516129032258,31.654838709677417,21.812903225806455,31.5,76.70967741935483,0.29,-0.033,5,2.532608695652174,9
JAWA TIMUR,2005-06-01,647.0,2005,36800000,26.296666666666667,31.03,22.2,63.2,80.46666666666667,0.11,-0.176,6,1.7581521739130435,10
JAWA TIMUR,2005-07-01,619.0,2005,36800000,26.40967741935484,31.81935483870968,21.48709677419355,21.2,73.06451612903226,-0.06,-0.384,7,1.6820652173913044,11
JAWA TIMUR,2005-08-01,1151.0,2005,36800000,26.780645161290323,32.47096774193548,21.345161290322583,27.8,70.48387096774194,-0.14,-0.345,8,3.1277173913043477,12
JAWA TIMUR,2005-09-01,967.0,2005,36800000,28.07,33.93666666666667,22.746666666666663,20.5,67.06666666666666,-0.11,-0.534,9,2.6277173913043477,13
JAWA TIMUR,2005-10-01,1056.0,2005,36800000,27.483870967741936,32.83870967741935,23.074193548387097,205.2,76.03225806451613,-0.29,-0.436,10,2.869565217391304,14
JAWA TIMUR,2005-11-01,1862.0,2005,36800000,27.32,31.94,23.459999999999997,203.7,79.13333333333334,-0.57,-0.272,11,5.059782608695652,15
JAWA TIMUR,2005-12-01,870.0,2005,36800000,25.183870967741935,29.203225806451613,22.570967741935487,467.6,91.58064516129032,-0.84,-0.3,12,2.364130434782609,16
JAWA TIMUR,2006-01-01,5778.0,2006,36953000,25.200000000000003,29.30322580645161,22.80967741935484,479.4,90.29032258064515,-0.85,-0.135,1,15.636078261575515,17
JAWA TIMUR,2006-02-01,4404.0,2006,36953000,25.485714285714288,29.775,22.7,671.1,90.82142857142856,-0.77,-0.305,2,11.917841582550809,18
JAWA TIMUR,2006-03-01,3106.0,2006,36953000,25.53548387096774,29.73870967741935,22.55161290322581,488.8,89.64516129032258,-0.57,-0.226,3,8.4052715611723,19
JAWA TIMUR,2006-04-01,2127.0,2006,36953000,25.626666666666665,29.95,22.526666666666664,339.9,88.93333333333334,-0.37,-0.015,4,5.755960273861391,20
JAWA TIMUR,2007-01-01,2648.0,2007,37106000,26.94193548387097,31.70967741935484,23.287096774193547,265.0,81.45161290322581,0.66,0.224,1,7.136312186708349,21
JAWA TIMUR,2007-02-01,4326.0,2007,37106000,25.335714285714285,29.478571428571428,22.74285714285714,515.9,90.75,0.22,0.15,2,11.658491888104349,22
JAWA TIMUR,2007-03-01,3853.0,2007,37106000,25.51935483870968,29.596774193548388,22.838709677419356,502.2,89.96774193548387,-0.12,0.116,3,10.383765428771627,23
JAWA TIMUR,2007-04-01,2654.0,2007,37106000,25.573333333333338,29.83,22.57,316.5,89.5,-0.32,0.1,4,7.152482078370075,24
JAWA TIMUR,2007-05-01,2714.0,2007,37106000,26.26451612903226,30.938709677419357,22.26774193548387,71.2,81.6774193548387,-0.38,0.27,5,7.314180994987334,25
JAWA TIMUR,2007-06-01,1971.0,2007,37106000,26.146666666666665,30.846666666666668,21.89333333333333,82.3,81.1,-0.47,0.03,6,5.311809410876947,26
JAWA TIMUR,2007-07-01,1424.0,2007,37106000,26.23870967741935,31.429032258064513,21.296774193548387,11.0,73.87096774193549,-0.56,0.045,7,3.8376542877162723,27
JAWA TIMUR,2007-08-01,1041.0,2007,37106000,26.787096774193547,32.71935483870968,21.048387096774192,13.0,67.38709677419355,-0.81,0.236,8,2.805476203309438,28
JAWA TIMUR,2007-09-01,804.0,2007,37106000,27.82,34.53333333333333,21.526666666666664,5.5,61.2,-1.07,0.235,9,2.166765482671266,29
JAWA TIMUR,2007-10-01,794.0,2007,37106000,28.51935483870968,34.54838709677419,23.154838709677417,50.8,66.12903225806451,-1.34,0.068,10,2.1398156632350562,30
JAWA TIMUR,2007-11-01,1516.0,2007,37106000,27.09333333333333,32.11666666666667,23.196666666666665,225.4,79.6,-1.5,-0.023,11,4.085592626529403,31
JAWA TIMUR,2007-12-01,2205.0,2007,37106000,25.72258064516129,30.003225806451617,23.06451612903226,451.1,88.96774193548387,-1.6,-0.227,12,5.942435185684256,32
JAWA TIMUR,2008-01-01,4082.0,2008,37259000,25.73870967741935,30.129032258064516,22.783870967741933,463.8,87.7741935483871,-1.64,0.115,1,10.955742236775007,33
JAWA TIMUR,2008-02-01,3189.0,2008,37259000,24.855172413793102,28.579310344827583,22.648275862068964,580.0,90.44827586206895,-1.52,-0.072,2,8.559005877774498,34
JAWA TIMUR,2008-03-01,2128.0,2008,37259000,25.041935483870965,29.299999999999997,22.04516129032258,569.1,91.0,-1.29,0.097,3,5.711371749107598,35
JAWA TIMUR,2008-04-01,1785.0,2008,37259000,25.53,29.98,21.933333333333337,193.3,86.4,-1.01,-0.153,4,4.790788802705387,36
JAWA TIMUR,2008-05-01,1428.0,2008,37259000,25.80322580645161,31.1,21.09032258064516,71.9,79.45161290322581,-0.84,0.178,5,3.8326310421643095,37
JAWA TIMUR,2008-06-01,769.0,2008,37259000,25.94333333333333,31.38,20.99,37.5,76.9,-0.61,0.215,6,2.0639308623419845,38
JAWA TIMUR,2008-07-01,489.0,2008,37259000,26.070967741935487,32.196774193548386,20.048387096774192,0.5,68.45161290322581,-0.37,0.246,7,1.312434579564669,39
JAWA TIMUR,2008-08-01,338.0,2008,37259000,27.02258064516129,32.8,21.596774193548388,19.2,68.29032258064517,-0.23,0.124,8,0.9071633699240452,40
JAWA TIMUR,2008-09-01,366.0,2008,37259000,28.153333333333332,34.723333333333336,22.040000000000003,8.4,62.266666666666666,-0.24,0.086,9,0.9823129982017768,41
JAWA TIMUR,2008-10-01,533.0,2008,37259000,28.26774193548387,34.04516129032258,23.296774193548387,99.9,70.54838709677419,-0.35,0.029,10,1.4305268525725328,42
JAWA TIMUR,2008-11-01,919.0,2008,37259000,26.35,30.796666666666667,23.07,266.2,86.2,-0.55,-0.128,11,2.466518156686975,43
JAWA TIMUR,2008-12-01,1284.0,2008,37259000,26.009677419354837,30.461290322580645,22.98709677419355,416.6,87.41935483870968,-0.73,-0.053,12,3.4461472395931185,44
JAWA TIMUR,2009-01-01,2486.0,2009,37412000,25.483870967741936,29.561290322580643,22.906451612903226,487.7,89.45161290322581,-0.85,0.031,1,6.644926761466909,45
JAWA TIMUR,2009-02-01,1987.0,2009,37412000,25.15357142857143,29.178571428571427,22.735714285714288,630.1,90.67857142857144,-0.79,0.163,2,5.3111301186784985,46
JAWA TIMUR,2009-03-01,1904.0,2009,37412000,25.76451612903226,30.200000000000003,22.27741935483871,370.6,88.12903225806451,-0.61,0.1,3,5.089276168074415,47
JAWA TIMUR,2009-04-01,1868.0,2009,37412000,26.283333333333335,30.873333333333335,22.406666666666663,186.3,84.43333333333334,-0.33,0.126,4,4.993050358173848,48
JAWA TIMUR,2009-05-01,1596.0,2009,37412000,25.958064516129035,30.493548387096773,22.370967741935484,214.6,86.35483870967742,0.01,0.256,5,4.266010905591789,49
JAWA TIMUR,2009-06-01,1478.0,2009,37412000,26.076666666666664,31.05666666666667,21.44,34.2,79.0,0.28,0.1,6,3.9506040842510424,50
JAWA TIMUR,2009-07-01,1469.0,2009,37412000,26.248387096774195,32.122580645161285,20.716129032258067,22.1,72.29032258064517,0.45,-0.192,7,3.9265476317759007,51
JAWA TIMUR,2009-08-01,1021.0,2009,37412000,27.04516129032258,32.76451612903226,21.364516129032257,12.9,69.74193548387096,0.58,-0.104,8,2.729070886346627,52
JAWA TIMUR,2009-09-01,719.0,2009,37412000,28.34333333333333,34.42666666666666,22.676666666666662,6.9,64.9,0.71,-0.103,9,1.9218432588474286,53
JAWA TIMUR,2009-10-01,823.0,2009,37412000,28.312903225806455,34.13870967741936,23.251612903225805,62.1,70.03225806451613,1.01,-0.013,10,2.19982893189351,54
JAWA TIMUR,2009-11-01,1146.0,2009,37412000,27.92,33.233333333333334,23.59,318.6,75.8,1.36,-0.067,11,3.0631882818347056,55
JAWA TIMUR,2009-12-01,2134.0,2009,37412000,27.083870967741937,31.48064516129032,23.80967741935484,318.8,83.70967741935483,1.56,0.16,12,5.704052175772479,56
JAWA TIMUR,2010-01-01,5601.0,2010,37565000,25.45483870967742,29.70967741935484,22.94516129032258,641.6,90.74193548387096,1.5,0.294,1,14.910155730067883,57
JAWA TIMUR,2010-02-01,5253.0,2010,37565000,25.853571428571428,30.02857142857143,23.125,667.1,91.28571428571428,1.22,0.023,2,13.983761480101158,58
JAWA TIMUR,2010-03-01,4028.0,2010,37565000,25.86774193548387,30.074193548387097,22.883870967741935,516.8,90.64516129032258,0.84,0.458,3,10.722747238120592,59
JAWA TIMUR,2010-04-01,2476.0,2010,37565000,25.90666666666667,29.903333333333332,23.313333333333333,520.3,91.96666666666668,0.35,0.37,4,6.591241847464395,60
JAWA TIMUR,2010-05-01,2173.0,2010,37565000,26.080645161290324,30.02258064516129,23.316129032258065,331.0,90.41935483870968,-0.17,-0.03,5,5.784639957407161,61
JAWA TIMUR,2010-06-01,1701.0,2010,37565000,25.81,30.15666666666667,22.436666666666667,110.0,86.7,-0.66,-0.14,6,4.52815120457873,62
JAWA TIMUR,2010-07-01,1230.0,2010,37565000,26.05161290322581,30.635483870967743,22.14516129032258,86.0,82.74193548387096,-1.05,-0.001,7,3.2743245041927325,63
JAWA TIMUR,2010-08-01,778.0,2010,37565000,26.493548387096773,31.26129032258065,22.4741935483871,113.0,80.80645161290323,-1.35,-0.062,8,2.071076800212964,64
JAWA TIMUR,2010-09-01,465.0,2010,37565000,26.09,30.666666666666668,22.566666666666663,225.0,85.2,-1.56,-0.268,9,1.2378543857313988,65
JAWA TIMUR,2010-10-01,803.0,2010,37565000,26.22258064516129,30.677419354838708,22.874193548387098,349.5,85.2258064516129,-1.64,-0.437,10,2.1376281112737923,66
JAWA TIMUR,2010-11-01,857.0,2010,37565000,25.84333333333333,30.166666666666668,22.64,338.8,88.1,-1.64,-0.495,11,2.2813789431651803,67
JAWA TIMUR,2010-12-01,655.0,2010,37565000,25.393548387096775,29.603225806451615,22.65806451612903,540.1,90.4516129032258,-1.54,-0.212,12,1.7436443497936909,68
JAWA TIMUR,2011-01-01,1035.0,2011,37821400,24.92258064516129,28.825806451612905,22.506451612903227,472.0,90.41935483870968,-1.31,0.192,1,2.736545976616413,69
JAWA TIMUR,2011-02-01,682.0,2011,37821400,25.307142857142857,29.542857142857144,22.553571428571427,413.2,89.21428571428571,-1.04,0.242,2,1.803211938214873,70
JAWA TIMUR,2011-03-01,593.0,2011,37821400,25.470967741935485,29.68064516129032,22.567741935483873,529.0,89.87096774193549,-0.8,0.367,3,1.5678954242836067,71
JAWA TIMUR,2011-05-01,486.0,2011,37821400,25.74516129032258,30.048387096774192,22.31935483870968,204.1,86.87096774193549,-0.46,-0.089,5,1.2849868064111851,72
JAWA TIMUR,2011-06-01,337.0,2011,37821400,26.046666666666667,30.986666666666668,21.53,44.0,77.46666666666667,-0.37,0.055,6,0.8910299460094021,73
JAWA TIMUR,2011-07-01,308.0,2011,37821400,25.787096774193547,31.219354838709677,20.59032258064516,20.8,75.3225806451613,-0.43,0.223,7,0.8143537785486523,74
JAWA TIMUR,2011-08-01,197.0,2011,37821400,26.567741935483873,32.62903225806452,20.683870967741935,1.0,67.6774193548387,-0.58,0.344,8,0.5208691375781964,75
JAWA TIMUR,2011-09-01,196.0,2011,37821400,27.583333333333332,33.65,21.993333333333332,26.3,66.83333333333333,-0.79,0.202,9,0.5182251318036879,76
JAWA TIMUR,2011-10-01,220.0,2011,37821400,28.42258064516129,34.15161290322581,23.19032258064516,31.5,68.0,-0.96,0.356,10,0.5816812703918945,77
JAWA TIMUR,2011-11-01,342.0,2011,37821400,26.263333333333332,30.76,23.163333333333338,456.4,86.96666666666667,-1.02,0.336,11,0.9042499748819451,78
JAWA TIMUR,2011-12-01,469.0,2011,37821400,26.22258064516129,30.719354838709677,23.296774193548387,457.9,88.38709677419355,-0.92,-0.128,12,1.2400387082445388,79
JAWA TIMUR,2012-01-01,1008.0,2012,38077800,25.183870967741935,28.72258064516129,22.89032258064516,541.6,91.06451612903226,-0.72,0.046,1,2.647211761183682,80
JAWA TIMUR,2012-02-01,756.0,2012,38077800,25.351724137931036,29.54827586206897,22.279310344827586,383.4,89.86206896551724,-0.57,-0.078,2,1.9854088208877614,81
JAWA TIMUR,2012-03-01,703.0,2012,38077800,25.416129032258063,29.53548387096774,22.661290322580644,405.5,89.09677419354838,-0.46,0.026,3,1.8462201072540956,82
JAWA TIMUR,2012-04-01,646.0,2012,38077800,25.966666666666665,30.263333333333332,22.363333333333333,199.1,85.53333333333333,-0.36,-0.271,4,1.696526585044304,83
JAWA TIMUR,2012-05-01,745.0,2012,38077800,25.961290322580645,30.4741935483871,22.103225806451615,137.8,83.96774193548387,-0.17,-0.37,5,1.9565205973034157,84
JAWA TIMUR,2012-06-01,499.0,2012,38077800,25.416666666666668,30.34,21.016666666666666,53.3,80.5,0.06,0.001,6,1.3104748698716837,85
JAWA TIMUR,2012-07-01,437.0,2012,38077800,25.73225806451613,31.32903225806452,20.361290322580647,14.7,74.2258064516129,0.3,0.546,7,1.147650336941735,86
JAWA TIMUR,2012-08-01,341.0,2012,38077800,26.47741935483871,32.82258064516129,20.23548387096774,0.3,65.80645161290323,0.41,0.652,8,0.8955349311147177,87
JAWA TIMUR,2012-09-01,369.0,2012,38077800,27.80666666666667,34.25,21.456666666666667,1.3,62.1,0.41,0.453,9,0.9690685911475978,88
JAWA TIMUR,2012-10-01,642.0,2012,38077800,28.729032258064517,34.65806451612904,23.164516129032258,26.700000000000003,66.35483870967742,0.31,0.11,10,1.6860217764681784,89
JAWA TIMUR,2012-11-01,841.0,2012,38077800,27.663333333333338,32.516666666666666,23.936666666666667,204.8,79.33333333333333,0.13,-0.1,11,2.208636003130433,90
JAWA TIMUR,2012-12-01,1190.0,2012,38077800,25.629032258064516,29.76774193548387,22.858064516129033,520.5,90.38709677419357,-0.1,0.268,12,3.1251805513974023,91
JAWA TIMUR,2013-01-01,3264.0,2013,38334200,25.438709677419357,29.364516129032257,23.141935483870967,688.1,91.38709677419357,-0.29,-0.065,1,8.514590104919368,92
JAWA TIMUR,2013-02-01,2550.0,2013,38334200,25.59642857142857,29.625,22.88214285714286,384.1,89.60714285714286,-0.29,0.189,2,6.652023519468256,93
JAWA TIMUR,2013-03-01,2124.0,2013,38334200,25.83225806451613,30.270967741935483,22.748387096774195,533.5,89.51612903225806,-0.21,0.083,3,5.5407442962159115,94
JAWA TIMUR,2013-04-01,1787.0,2013,38334200,25.936666666666667,29.93,22.883333333333333,318.8,88.5,-0.19,-0.297,4,4.661633736976381,95
JAWA TIMUR,2013-05-01,1333.0,2013,38334200,25.92258064516129,30.096774193548388,22.76451612903226,211.7,87.45161290322581,-0.27,-0.506,5,3.477312686843602,96
JAWA TIMUR,2013-06-01,951.0,2013,38334200,25.313333333333333,29.19,22.446666666666665,202.8,90.16666666666669,-0.34,-0.497,6,2.480813477260514,97
JAWA TIMUR,2013-07-01,781.0,2013,38334200,25.096774193548388,29.654838709677417,21.135483870967743,105.1,84.12903225806451,-0.35,-0.18,7,2.0373452426292973,98
JAWA TIMUR,2013-08-01,521.0,2013,38334200,26.12258064516129,32.041935483870965,20.419354838709676,3.5999999999999996,71.09677419354838,-0.28,-0.194,8,1.3590997073109652,99
JAWA TIMUR,2013-09-01,397.0,2013,38334200,27.959999999999997,34.230000000000004,21.80666666666667,2.8,63.86666666666667,-0.21,-0.31,9,1.0356287596976068,100
JAWA TIMUR,2013-10-01,357.0,2013,38334200,28.806451612903224,34.854838709677416,23.45483870967742,33.6,65.54838709677419,-0.13,-0.168,10,0.9312832927255558,101
JAWA TIMUR,2013-11-01,407.0,2013,38334200,27.113333333333333,32.13666666666667,23.423333333333336,255.3,80.16666666666667,-0.1,0.199,11,1.0617151264406195,102
JAWA TIMUR,2013-12-01,423.0,2013,38334200,25.55483870967742,29.48064516129032,22.919354838709676,618.2,89.83870967741936,-0.15,0.141,12,1.10345331322944,103
JAWA TIMUR,2014-01-01,980.0,2014,38590600,24.938709677419357,28.774193548387096,22.674193548387095,549.4,90.70967741935485,-0.28,-0.101,1,2.539478525858629,104
JAWA TIMUR,2014-02-01,918.0,2014,38590600,25.314285714285713,29.510714285714283,22.571428571428573,419.9,89.14285714285714,-0.32,-0.089,2,2.378817639528797,105
JAWA TIMUR,2014-03-01,881.0,2014,38590600,25.770967741935483,30.09032258064516,22.419354838709676,379.7,87.90322580645162,-0.14,-0.151,3,2.2829393686545427,106
JAWA TIMUR,2014-04-01,837.0,2014,38590600,25.993333333333332,30.433333333333337,22.716666666666665,331.4,88.4,0.15,-0.058,4,2.1689219654527268,107
JAWA TIMUR,2014-05-01,855.0,2014,38590600,26.65806451612903,31.18064516129032,22.88064516129032,68.3,82.93548387096774,0.31,-0.092,5,2.2155654485807426,108
JAWA TIMUR,2014-06-01,784.0,2014,38590600,26.9,31.663333333333338,22.803333333333335,54.0,79.46666666666667,0.23,-0.028,6,2.031582820686903,109
JAWA TIMUR,2014-07-01,569.0,2014,38590600,26.509677419354837,31.30322580645161,22.19677419354839,60.5,76.74193548387096,0.1,-0.363,7,1.4744523277689385,110
JAWA TIMUR,2014-08-01,640.0,2014,38590600,26.89032258064516,32.593548387096774,21.364516129032257,6.8,69.06451612903226,0.11,-0.372,8,1.658434955662778,111
JAWA TIMUR,2014-09-01,551.0,2014,38590600,27.76,34.6,21.103333333333335,1.5,59.266666666666666,0.28,-0.145,9,1.427808844640923,112
JAWA TIMUR,2014-10-01,600.0,2014,38590600,29.23870967741935,35.89354838709678,22.758064516129032,5.7,57.67741935483871,0.54,0.141,10,1.5547827709338544,113
JAWA TIMUR,2014-11-01,735.0,2014,38590600,27.97,33.3,23.8,277.1,76.16666666666667,0.71,0.01,11,1.9046088943939716,114
JAWA TIMUR,2014-12-01,923.0,2014,38590600,25.693548387096776,29.870967741935484,23.129032258064516,619.4,91.16129032258064,0.77,0.046,12,2.3917741626199125,115
JAWA TIMUR,2015-01-01,4584.0,2015,38847000,25.68064516129032,29.812903225806455,23.04193548387097,367.8,88.74193548387096,0.69,-0.1,1,11.800139006873117,116
JAWA TIMUR,2015-02-01,4379.0,2015,38847000,25.314285714285713,29.59642857142857,22.442857142857143,499.7,90.14285714285714,0.61,-0.345,2,11.272427729296986,117
JAWA TIMUR,2015-03-01,2645.0,2015,38847000,25.516129032258064,29.751612903225805,22.580645161290324,499.4,90.03225806451613,0.65,-0.241,3,6.808762581409118,118
JAWA TIMUR,2015-04-01,1941.0,2015,38847000,25.563333333333333,29.763333333333332,22.686666666666667,365.5,90.16666666666669,0.81,-0.008,4,4.99652482817206,119
JAWA TIMUR,2015-05-01,1508.0,2015,38847000,25.91290322580645,30.76774193548387,21.458064516129035,83.3,81.29032258064517,1.02,0.24,5,3.8818956418771076,120
JAWA TIMUR,2015-06-01,1194.0,2015,38847000,26.586666666666662,32.10333333333333,21.37,14.1,73.73333333333333,1.25,0.296,6,3.073596416711715,121
JAWA TIMUR,2015-07-01,738.0,2015,38847000,26.57741935483871,32.21290322580645,21.08709677419355,0.9,69.51612903225806,1.57,0.225,7,1.8997605992740751,122
JAWA TIMUR,2015-08-01,607.0,2015,38847000,27.074193548387097,33.21612903225807,21.212903225806453,0.7,66.2258064516129,1.91,0.567,8,1.5625402218961568,123
JAWA TIMUR,2015-09-01,442.0,2015,38847000,28.053333333333335,34.86,21.44333333333333,3.4,59.63333333333333,2.21,0.294,9,1.1377969984812213,124
JAWA TIMUR,2015-10-01,554.0,2015,38847000,29.016129032258064,35.7,22.248387096774195,8.799999999999999,58.38709677419355,2.47,0.483,10,1.4261075501325713,125
JAWA TIMUR,2015-11-01,806.0,2015,38847000,28.743333333333332,34.22666666666667,24.333333333333332,153.6,72.66666666666667,2.64,0.347,11,2.0748062913481093,126
JAWA TIMUR,2015-12-01,740.0,2015,38847000,26.37741935483871,30.816129032258065,23.67096774193548,441.0,88.38709677419355,2.75,0.272,12,1.904909001982135,127
JAWA TIMUR,2016-01-01,3590.0,2016,39210600,26.51290322580645,30.758064516129032,23.53548387096774,361.1,87.45161290322581,2.63,0.266,1,9.155687492667798,128
