date,oni,dmi
2003-01-01,0.92,-0.239
2003-02-01,0.63,0.017
2003-03-01,0.38,-0.039
2003-04-01,-0.04,-0.099
2003-05-01,-0.26,-0.164
2003-06-01,-0.16,0.139
2003-07-01,0.08,0.131
2003-08-01,0.21,0.108
2003-09-01,0.26,-0.061
2003-10-01,0.29,-0.243
2003-11-01,0.35,-0.159
2003-12-01,0.35,0.189
2004-01-01,0.37,0.044
2004-02-01,0.31,0.114
2004-03-01,0.23,0.077
2004-04-01,0.17,-0.08
2004-05-01,0.17,-0.565
2004-06-01,0.28,-0.384
2004-07-01,0.47,-0.301
2004-08-01,0.64,-0.132
2004-09-01,0.7,-0.106
2004-10-01,0.67,-0.004
2004-11-01,0.66,-0.153
2004-12-01,0.69,-0.132
2005-01-01,0.64,-0.124
2005-02-01,0.58,-0.56
2005-03-01,0.45,-0.432
2005-04-01,0.43,0.084
2005-05-01,0.29,-0.033
2005-06-01,0.11,-0.176
2005-07-01,-0.06,-0.384
2005-08-01,-0.14,-0.345
2005-09-01,-0.11,-0.534
2005-10-01,-0.29,-0.436
2005-11-01,-0.57,-0.272
2005-12-01,-0.84,-0.3
2006-01-01,-0.85,-0.135
2006-02-01,-0.77,-0.305
2006-03-01,-0.57,-0.226
2006-04-01,-0.37,-0.015
2006-05-01,-0.14,-0.207
2006-06-01,-0.03,-0.059
2006-07-01,0.1,0.04
2006-08-01,0.3,0.229
2006-09-01,0.54,0.428
2006-10-01,0.77,0.577
2006-11-01,0.94,0.501
2006-12-01,0.94,0.172
2007-01-01,0.66,0.224
2007-02-01,0.22,0.15
2007-03-01,-0.12,0.116
2007-04-01,-0.32,0.1
2007-05-01,-0.38,0.27
2007-06-01,-0.47,0.03
2007-07-01,-0.56,0.045
2007-08-01,-0.81,0.236
2007-09-01,-1.07,0.235
2007-10-01,-1.34,0.068
2007-11-01,-1.5,-0.023
2007-12-01,-1.6,-0.227
2008-01-01,-1.64,0.115
2008-02-01,-1.52,-0.072
2008-03-01,-1.29,0.097
2008-04-01,-1.01,-0.153
2008-05-01,-0.84,0.178
2008-06-01,-0.61,0.215
2008-07-01,-0.37,0.246
2008-08-01,-0.23,0.124
2008-09-01,-0.24,0.086
2008-10-01,-0.35,0.029
2008-11-01,-0.55,-0.128
2008-12-01,-0.73,-0.053
2009-01-01,-0.85,0.031
2009-02-01,-0.79,0.163
2009-03-01,-0.61,0.1
2009-04-01,-0.33,0.126
2009-05-01,0.01,0.256
2009-06-01,0.28,0.1
2009-07-01,0.45,-0.192
2009-08-01,0.58,-0.104
2009-09-01,0.71,-0.103
2009-10-01,1.01,-0.013
2009-11-01,1.36,-0.067
2009-12-01,1.56,0.16
2010-01-01,1.5,0.294
2010-02-01,1.22,0.023
2010-03-01,0.84,0.458
2010-04-01,0.35,0.37
2010-05-01,-0.17,-0.03
2010-06-01,-0.66,-0.14
2010-07-01,-1.05,-0.001
2010-08-01,-1.35,-0.062
2010-09-01,-1.56,-0.268
2010-10-01,-1.64,-0.437
2010-11-01,-1.64,-0.495
2010-12-01,-1.54,-0.212
2011-01-01,-1.31,0.192
2011-02-01,-1.04,0.242
2011-03-01,-0.8,0.367
2011-04-01,-0.62,0.154
2011-05-01,-0.46,-0.089
2011-06-01,-0.37,0.055
2011-07-01,-0.43,0.223
2011-08-01,-0.58,0.344
2011-09-01,-0.79,0.202
2011-10-01,-0.96,0.356
2011-11-01,-1.02,0.336
2011-12-01,-0.92,-0.128
2012-01-01,-0.72,0.046
2012-02-01,-0.57,-0.078
2012-03-01,-0.46,0.026
2012-04-01,-0.36,-0.271
2012-05-01,-0.17,-0.37
2012-06-01,0.06,0.001
2012-07-01,0.3,0.546
2012-08-01,0.41,0.652
2012-09-01,0.41,0.453
2012-10-01,0.31,0.11
2012-11-01,0.13,-0.1
2012-12-01,-0.1,0.268
2013-01-01,-0.29,-0.065
2013-02-01,-0.29,0.189
2013-03-01,-0.21,0.083
2013-04-01,-0.19,-0.297
2013-05-01,-0.27,-0.506
2013-06-01,-0.34,-0.497
2013-07-01,-0.35,-0.18
2013-08-01,-0.28,-0.194
2013-09-01,-0.21,-0.31
2013-10-01,-0.13,-0.168
2013-11-01,-0.1,0.199
2013-12-01,-0.15,0.141
2014-01-01,-0.28,-0.101
2014-02-01,-0.32,-0.089
2014-03-01,-0.14,-0.151
2014-04-01,0.15,-0.058
2014-05-01,0.31,-0.092
2014-06-01,0.23,-0.028
2014-07-01,0.1,-0.363
2014-08-01,0.11,-0.372
2014-09-01,0.28,-0.145
2014-10-01,0.54,0.141
2014-11-01,0.71,0.01
2014-12-01,0.77,0.046
2015-01-01,0.69,-0.1
2015-02-01,0.61,-0.345
2015-03-01,0.65,-0.241
2015-04-01,0.81,-0.008
2015-05-01,1.02,0.24
2015-06-01,1.25,0.296
2015-07-01,1.57,0.225
2015-08-01,1.91,0.567
2015-09-01,2.21,0.294
2015-10-01,2.47,0.483
2015-11-01,2.64,0.347
2015-12-01,2.75,0.272
2016-01-01,2.63,0.266
2016-02-01,2.28,-0.11
2016-03-01,1.71,-0.009
2016-04-01,1.05,0.146
2016-05-01,0.49,-0.113
2016-06-01,0.0,-0.443
2016-07-01,-0.31,-0.758
2016-08-01,-0.5,-0.444
2016-09-01,-0.58,-0.437
2016-10-01,-0.64,-0.372
2016-11-01,-0.6,-0.382
2016-12-01,-0.45,-0.31
2017-01-01,-0.19,-0.086
2017-02-01,-0.02,0.101
2017-03-01,0.18,0.357
2017-04-01,0.31,0.499
2017-05-01,0.4,0.536
2017-06-01,0.39,0.424
2017-07-01,0.19,0.52
2017-08-01,-0.07,0.349
2017-09-01,-0.34,0.034
2017-10-01,-0.6,0.016
2017-11-01,-0.77,0.289
2017-12-01,-0.86,0.109
2018-01-01,-0.77,-0.2
2018-02-01,-0.71,0.215
2018-03-01,-0.57,-0.12
2018-04-01,-0.39,-0.083
2018-05-01,-0.13,0.122
2018-06-01,0.06,0.155
2018-07-01,0.14,0.053
2018-08-01,0.27,0.122
2018-09-01,0.53,0.604
2018-10-01,0.81,0.685
2018-11-01,0.97,0.5
2018-12-01,0.92,0.309
2019-01-01,0.89,0.387
2019-02-01,0.86,0.416
2019-03-01,0.84,0.224
2019-04-01,0.77,0.258
2019-05-01,0.64,0.539
2019-06-01,0.52,0.605
2019-07-01,0.33,0.597
2019-08-01,0.19,0.436
2019-09-01,0.23,0.893
2019-10-01,0.39,0.964
2019-11-01,0.58,0.835
2019-12-01,0.66,0.243
2020-01-01,0.64,0.173
2020-02-01,0.63,0.054
2020-03-01,0.53,0.019
2020-04-01,0.3,-0.011
2020-05-01,0.01,0.298
2020-06-01,-0.23,0.454
2020-07-01,-0.36,0.32
2020-08-01,-0.53,-0.183
2020-09-01,-0.85,-0.19
2020-10-01,-1.12,0.074
2020-11-01,-1.2,0.02
2020-12-01,-1.08,0.03
2021-01-01,-0.91,0.051
2021-02-01,-0.79,0.243
2021-03-01,-0.71,0.266
2021-04-01,-0.55,0.25
2021-05-01,-0.39,0.009
2021-06-01,-0.3,-0.002
2021-07-01,-0.35,-0.228
2021-08-01,-0.45,-0.099
2021-09-01,-0.63,-0.058
2021-10-01,-0.76,-0.091
2021-11-01,-0.91,0.069
2021-12-01,-0.87,-0.12
2022-01-01,-0.82,-0.056
2022-02-01,-0.79,-0.083
2022-03-01,-0.86,-0.093
2022-04-01,-0.95,-0.068
2022-05-01,-0.9,-0.122
2022-06-01,-0.78,-0.335
2022-07-01,-0.76,-0.195
2022-08-01,-0.87,-0.246
2022-09-01,-0.97,-0.322
2022-10-01,-0.94,-0.691
2022-11-01,-0.85,-0.269
2022-12-01,-0.71,-0.092
2023-01-01,-0.54,0.109
2023-02-01,-0.29,0.157
2023-03-01,-0.02,0.415
2023-04-01,0.27,0.56
2023-05-01,0.57,0.443
2023-06-01,0.84,0.665
2023-07-01,1.12,0.498
2023-08-01,1.37,0.825
2023-09-01,1.6,0.946
2023-10-01,1.83,0.804
2023-11-01,1.99,0.92
2023-12-01,2.06,0.851
2024-01-01,1.92,0.765
2024-02-01,1.62,0.328
2024-03-01,1.26,0.421
2024-04-01,0.82,0.44
2024-05-01,0.49,0.297
2024-06-01,0.22,0.197
2024-07-01,0.08,0.033
2024-08-01,-0.07,0.267
2024-09-01,-0.17,0.115
2024-10-01,-0.21,-0.196
2024-11-01,-0.3,-0.383
