province,date,cases
BALI,2004-01-01,69.0
BALI,2004-02-01,439.0
BALI,2004-03-01,890.0
BALI,2004-04-01,429.0
BALI,2004-05-01,17.0
BALI,2004-06-01,10.0
BALI,2005-01-01,216.0
BALI,2005-02-01,379.0
BALI,2005-03-01,299.0
BALI,2005-04-01,298.0
BALI,2005-05-01,327.0
BALI,2005-06-01,259.0
BALI,2005-07-01,178.0
BALI,2005-08-01,109.0
BALI,2005-09-01,112.0
BALI,2005-10-01,111.0
BALI,2005-11-01,135.0
BALI,2006-01-01,1023.0
BALI,2006-02-01,1061.0
BALI,2006-03-01,811.0
BALI,2006-04-01,689.0
BALI,2007-01-01,276.0
BALI,2007-02-01,466.0
BALI,2007-03-01,575.0
BALI,2007-04-01,784.0
BALI,2007-05-01,1387.0
BALI,2007-06-01,995.0
BALI,2007-07-01,585.0
BALI,2007-08-01,376.0
BALI,2007-09-01,192.0
BALI,2007-10-01,171.0
BALI,2007-11-01,203.0
BALI,2007-12-01,365.0
BALI,2008-01-01,600.0
BALI,2008-02-01,903.0
BALI,2008-03-01,980.0
BALI,2008-04-01,1022.0
BALI,2008-05-01,1126.0
BALI,2008-06-01,581.0
BALI,2008-07-01,280.0
BALI,2008-08-01,108.0
BALI,2008-09-01,116.0
BALI,2008-10-01,115.0
BALI,2008-11-01,161.0
BALI,2008-12-01,262.0
BALI,2009-01-01,400.0
BALI,2009-02-01,456.0
BALI,2009-03-01,587.0
BALI,2009-04-01,862.0
BALI,2009-05-01,1006.0
BALI,2009-06-01,818.0
BALI,2009-07-01,451.0
BALI,2009-08-01,287.0
BALI,2009-09-01,158.0
BALI,2009-10-01,187.0
BALI,2009-11-01,277.0
BALI,2009-12-01,321.0
BALI,2010-01-01,682.0
BALI,2010-02-01,1048.0
BALI,2010-03-01,1221.0
BALI,2010-04-01,1482.0
BALI,2010-05-01,1373.0
BALI,2010-06-01,1645.0
BALI,2010-07-01,1578.0
BALI,2010-08-01,868.0
BALI,2010-09-01,530.0
BALI,2010-10-01,582.0
BALI,2010-11-01,662.0
BALI,2010-12-01,26.0
BALI,2011-01-01,649.0
BALI,2011-02-01,589.0
BALI,2011-03-01,488.0
BALI,2011-05-01,283.0
BALI,2011-06-01,188.0
BALI,2011-07-01,105.0
BALI,2011-08-01,65.0
BALI,2011-09-01,40.0
BALI,2011-10-01,80.0
BALI,2011-11-01,82.0
BALI,2011-12-01,128.0
BALI,2012-01-01,186.0
BALI,2012-02-01,371.0
BALI,2012-03-01,327.0
BALI,2012-04-01,383.0
BALI,2012-05-01,389.0
BALI,2012-06-01,294.0
BALI,2012-07-01,176.0
BALI,2012-08-01,111.0
BALI,2012-09-01,83.0
BALI,2012-10-01,96.0
BALI,2012-11-01,100.0
BALI,2012-12-01,134.0
BALI,2013-01-01,311.0
BALI,2013-02-01,569.0
BALI,2013-03-01,590.0
BALI,2013-04-01,862.0
BALI,2013-05-01,960.0
BALI,2013-06-01,779.0
BALI,2013-07-01,902.0
BALI,2013-08-01,615.0
BALI,2013-09-01,402.0
BALI,2013-10-01,268.0
BALI,2013-11-01,294.0
BALI,2013-12-01,261.0
BALI,2014-01-01,861.0
BALI,2014-02-01,1087.0
BALI,2014-03-01,957.0
BALI,2014-04-01,1065.0
BALI,2014-05-01,1019.0
BALI,2014-06-01,985.0
BALI,2014-07-01,689.0
BALI,2014-08-01,545.0
BALI,2014-09-01,410.0
BALI,2014-10-01,347.0
BALI,2014-11-01,318.0
BALI,2014-12-01,346.0
BALI,2015-01-01,1001.0
BALI,2015-02-01,1619.0
BALI,2015-03-01,1494.0
BALI,2015-04-01,1685.0
BALI,2015-05-01,1394.0
BALI,2015-06-01,1269.0
BALI,2015-07-01,725.0
BALI,2015-08-01,411.0
BALI,2015-09-01,286.0
BALI,2015-10-01,219.0
BALI,2015-11-01,212.0
BALI,2015-12-01,389.0
BALI,2016-01-01,1025.0
BALI,2016-03-01,2831.0
BALI,2016-04-01,3414.0
BALI,2016-05-01,3019.0
BALI,2016-06-01,2254.0
BALI,2016-07-01,1761.0
BALI,2016-08-01,1654.0
BALI,2016-09-01,1131.0
BALI,2016-10-01,1014.0
BALI,2016-11-01,1038.0
BALI,2016-12-01,919.0
BALI,2017-01-01,809.0
BALI,2017-02-01,734.0
BALI,2017-03-01,766.0
BALI,2017-04-01,485.0
BALI,2017-05-01,499.0
BALI,2017-06-01,333.0
BALI,2017-07-01,195.0
BALI,2017-08-01,183.0
BALI,2017-09-01,122.0
BALI,2017-10-01,142.0
BALI,2017-11-01,131.0
BALI,2017-12-01,100.0
BALI,2018-01-01,145.0
BALI,2018-02-01,113.0
BALI,2018-03-01,92.0
BALI,2018-04-01,83.0
BALI,2018-05-01,39.0
BALI,2018-06-01,46.0
BALI,2018-07-01,45.0
BALI,2018-08-01,44.0
BALI,2018-09-01,76.0
BALI,2018-10-01,72.0
BALI,2018-11-01,71.0
BALI,2018-12-01,78.0
BALI,2019-01-01,347.0
BALI,2019-02-01,713.0
BALI,2019-03-01,639.0
BALI,2019-04-01,714.0
BALI,2019-05-01,975.0
BALI,2019-06-01,589.0
BALI,2019-07-01,338.0
BALI,2019-08-01,238.0
BALI,2019-09-01,172.0
BALI,2019-10-01,158.0
BALI,2019-11-01,96.0
BALI,2019-12-01,0.0
BALI,2020-01-01,800.0
BALI,2020-02-01,1151.0
BALI,2020-03-01,2170.0
BALI,2020-04-01,2858.0
BALI,2020-05-01,2262.0
BALI,2020-06-01,1120.0
BALI,2020-07-01,604.0
BALI,2020-08-01,344.0
BALI,2020-10-01,120.0
BALI,2020-11-01,171.0
BALI,2020-12-01,225.0
BALI,2021-01-01,364.0
BALI,2021-02-01,331.0
BALI,2021-03-01,394.0
BALI,2021-04-01,377.0
BALI,2021-05-01,376.0
BALI,2021-06-01,224.0
BALI,2021-07-01,91.0
BALI,2021-08-01,57.0
BALI,2021-09-01,55.0
BALI,2021-10-01,73.0
BALI,2021-11-01,130.0
BALI,2021-12-01,201.0
BALI,2022-01-01,562.0
BALI,2022-02-01,311.0
BALI,2022-03-01,376.0
BALI,2022-04-01,575.0
BALI,2022-05-01,773.0
BALI,2022-06-01,628.0
BALI,2022-07-01,407.0
BALI,2022-08-01,341.0
BALI,2022-09-01,311.0
BALI,2022-10-01,320.0
BALI,2022-11-01,437.0
BALI,2022-12-01,720.0
BALI,2023-01-01,965.0
BALI,2023-02-01,963.0
BALI,2023-03-01,1005.0
BALI,2023-04-01,870.0
BALI,2023-05-01,851.0
BALI,2023-06-01,603.0
BALI,2023-07-01,471.0
BALI,2023-08-01,339.0
BALI,2023-09-01,276.0
BALI,2023-10-01,251.0
BALI,2023-11-01,238.0
BALI,2023-12-01,267.0
BALI,2024-01-01,709.0
BALI,2024-02-01,908.0
BALI,2024-03-01,1659.0
BALI,2024-04-01,2623.0
BALI,2024-05-01,3339.0
BALI,2024-06-01,2177.0
BALI,2024-07-01,1243.0
BANTEN,2004-01-01,328.0
BANTEN,2004-02-01,789.0
BANTEN,2004-03-01,925.0
BANTEN,2004-04-01,155.0
BANTEN,2004-05-01,84.0
BANTEN,2004-06-01,20.0
BANTEN,2004-07-01,14.0
BANTEN,2006-01-01,220.0
BANTEN,2006-02-01,200.0
BANTEN,2007-01-01,594.0
BANTEN,2007-02-01,822.0
BANTEN,2007-03-01,695.0
BANTEN,2007-04-01,671.0
BANTEN,2007-05-01,648.0
BANTEN,2007-06-01,584.0
BANTEN,2007-07-01,457.0
BANTEN,2007-08-01,238.0
BANTEN,2007-09-01,252.0
BANTEN,2007-10-01,169.0
BANTEN,2007-11-01,178.0
BANTEN,2007-12-01,279.0
BANTEN,2008-01-01,393.0
BANTEN,2008-02-01,370.0
BANTEN,2008-03-01,377.0
BANTEN,2008-04-01,384.0
BANTEN,2008-05-01,381.0
BANTEN,2008-06-01,244.0
BANTEN,2008-07-01,420.0
BANTEN,2008-08-01,246.0
BANTEN,2008-09-01,169.0
BANTEN,2008-10-01,299.0
BANTEN,2008-11-01,255.0
BANTEN,2008-12-01,416.0
BANTEN,2009-01-01,492.0
BANTEN,2009-02-01,600.0
BANTEN,2009-03-01,533.0
BANTEN,2009-04-01,591.0
BANTEN,2009-05-01,631.0
BANTEN,2009-06-01,539.0
BANTEN,2009-07-01,560.0
BANTEN,2009-08-01,272.0
BANTEN,2009-09-01,221.0
