province,year,population
JAWA TIMUR,2004,36800000
JAWA TIMUR,2005,36800000
JAWA TIMUR,2006,36953000
JAWA TIMUR,2007,37106000
JAWA TIMUR,2008,37259000
JAWA TIMUR,2009,37412000
JAWA TIMUR,2010,37565000
JAWA TIMUR,2011,37821400
JAWA TIMUR,2012,38077800
JAWA TIMUR,2013,38334200
JAWA TIMUR,2014,38590600
JAWA TIMUR,2015,38847000
JAWA TIMUR,2016,39210600
JAWA TIMUR,2017,39574200
JAWA TIMUR,2018,39937800
JAWA TIMUR,2019,40301400
JAWA TIMUR,2020,40665000
JAWA TIMUR,2021,40951250
JAWA TIMUR,2022,41237500
JAWA TIMUR,2023,41523750
JAWA TIMUR,2024,41810000
JAWA BARAT,2004,38500000
JAWA BARAT,2005,38500000
JAWA BARAT,2006,39410600
JAWA BARAT,2007,40321200
JAWA BARAT,2008,41231800
JAWA BARAT,2009,42142400
JAWA BARAT,2010,43053000
JAWA BARAT,2011,43784400
JAWA BARAT,2012,44515800
JAWA BARAT,2013,45247200
JAWA BARAT,2014,45978600
JAWA BARAT,2015,46710000
JAWA BARAT,2016,47022800
JAWA BARAT,2017,47335600
JAWA BARAT,2018,47648400
JAWA BARAT,2019,47961200
JAWA BARAT,2020,48274000
JAWA BARAT,2021,48556750
JAWA BARAT,2022,48839500
JAWA BARAT,2023,49122250
JAWA BARAT,2024,49405000
JAWA TENGAH,2004,32400000
JAWA TENGAH,2005,32400000
JAWA TENGAH,2006,32396600
JAWA TENGAH,2007,32393200
JAWA TENGAH,2008,32389800
JAWA TENGAH,2009,32386400
JAWA TENGAH,2010,32383000
JAWA TENGAH,2011,32661200
JAWA TENGAH,2012,32939400
JAWA TENGAH,2013,33217600
JAWA TENGAH,2014,33495800
JAWA TENGAH,2015,33774000
JAWA TENGAH,2016,34322400
JAWA TENGAH,2017,34870800
JAWA TENGAH,2018,35419200
JAWA TENGAH,2019,35967600
JAWA TENGAH,2020,36516000
JAWA TENGAH,2021,36772000
JAWA TENGAH,2022,37028000
JAWA TENGAH,2023,37284000
JAWA TENGAH,2024,37540000
DKI JAKARTA,2004,8860000
DKI JAKARTA,2005,8860000
DKI JAKARTA,2006,9016000
DKI JAKARTA,2007,9172000
DKI JAKARTA,2008,9328000
DKI JAKARTA,2009,9484000
DKI JAKARTA,2010,9640000
DKI JAKARTA,2011,9747600
DKI JAKARTA,2012,9855200
DKI JAKARTA,2013,9962800
DKI JAKARTA,2014,10070400
DKI JAKARTA,2015,10178000
DKI JAKARTA,2016,10254800
DKI JAKARTA,2017,10331600
DKI JAKARTA,2018,10408400
DKI JAKARTA,2019,10485200
DKI JAKARTA,2020,10562000
DKI JAKARTA,2021,10591500
DKI JAKARTA,2022,10621000
DKI JAKARTA,2023,10650500
DKI JAKARTA,2024,10680000
BANTEN,2004,9310000
BANTEN,2005,9310000
BANTEN,2006,9574400
BANTEN,2007,9838800
BANTEN,2008,10103200
BANTEN,2009,10367600
BANTEN,2010,10632000
BANTEN,2011,10896600
BANTEN,2012,11161200
BANTEN,2013,11425800
BANTEN,2014,11690400
BANTEN,2015,11955000
BANTEN,2016,11944800
BANTEN,2017,11934600
BANTEN,2018,11924400
BANTEN,2019,11914200
BANTEN,2020,11904000
BANTEN,2021,12015500
BANTEN,2022,12127000
BANTEN,2023,12238500
BANTEN,2024,12350000
BALI,2004,3380000
BALI,2005,3380000
BALI,2006,3482200
BALI,2007,3584400
BALI,2008,3686600
BALI,2009,3788800
BALI,2010,3891000
BALI,2011,3943200
BALI,2012,3995400
BALI,2013,4047600
BALI,2014,4099800
BALI,2015,4152000
BALI,2016,4185000
BALI,2017,4218000
BALI,2018,4251000
BALI,2019,4284000
BALI,2020,4317000
BALI,2021,4342750
BALI,2022,4368500
BALI,2023,4394250
BALI,2024,4420000
DI YOGYAKARTA,2004,3290000
DI YOGYAKARTA,2005,3290000
DI YOGYAKARTA,2006,3323400
DI YOGYAKARTA,2007,3356800
DI YOGYAKARTA,2008,3390200
DI YOGYAKARTA,2009,3423600
DI YOGYAKARTA,2010,3457000
DI YOGYAKARTA,2011,3501600
DI YOGYAKARTA,2012,3546200
DI YOGYAKARTA,2013,3590800
DI YOGYAKARTA,2014,3635400
DI YOGYAKARTA,2015,3680000
DI YOGYAKARTA,2016,3677800
DI YOGYAKARTA,2017,3675600
DI YOGYAKARTA,2018,3673400
DI YOGYAKARTA,2019,3671200
DI YOGYAKARTA,2020,3669000
DI YOGYAKARTA,2021,3679250
DI YOGYAKARTA,2022,3689500
DI YOGYAKARTA,2023,3699750
DI YOGYAKARTA,2024,3710000
